MoDy,MaxT,AveT,MinT,HDD,MHDD,CDD,MCDD,PcpD,PcpM,SnwD,SnwM,SnwG,PcpYr
1/1,37.8,30.7,23.6,34.2,34,0.0,0,0.123,0.12,0.34,0.3,1.7,0.12
1/2,37.6,30.5,23.4,34.4,69,0.0,0,0.124,0.25,0.35,0.7,1.8,0.25
1/3,37.5,30.4,23.3,34.6,103,0.0,0,0.125,0.37,0.36,1.1,1.9,0.37
1/4,37.3,30.2,23.1,34.8,138,0.0,0,0.126,0.50,0.37,1.4,2.0,0.50
1/5,37.2,30.1,22.9,34.9,173,0.0,0,0.126,0.62,0.38,1.8,2.1,0.62
1/6,37.0,29.9,22.8,35.1,208,0.0,0,0.127,0.75,0.39,2.2,2.2,0.75
1/7,36.9,29.8,22.6,35.2,243,0.0,0,0.127,0.88,0.40,2.6,2.3,0.88
1/8,36.8,29.6,22.5,35.3,278,0.0,0,0.127,1.01,0.40,3.0,2.3,1.01
1/9,36.7,29.5,22.4,35.5,314,0.0,0,0.128,1.13,0.41,3.4,2.4,1.13
1/10,36.6,29.4,22.3,35.6,349,0.0,0,0.128,1.26,0.42,3.8,2.5,1.26
1/11,36.5,29.3,22.1,35.7,385,0.0,0,0.128,1.39,0.42,4.2,2.5,1.39
1/12,36.4,29.2,22.0,35.8,421,0.0,0,0.129,1.52,0.43,4.7,2.6,1.52
1/13,36.3,29.2,22.0,35.8,457,0.0,0,0.129,1.65,0.43,5.1,2.6,1.65
1/14,36.3,29.1,21.9,35.9,493,0.0,0,0.129,1.78,0.44,5.5,2.6,1.78
1/15,36.2,29.0,21.8,36.0,529,0.0,0,0.129,1.90,0.44,6.0,2.7,1.90
1/16,36.2,29.0,21.8,36.1,565,0.0,0,0.129,2.03,0.44,6.4,2.7,2.03
1/17,36.1,28.9,21.7,36.1,601,0.0,0,0.129,2.16,0.44,6.9,2.7,2.16
1/18,36.1,28.9,21.7,36.1,637,0.0,0,0.129,2.29,0.45,7.3,2.8,2.29
1/19,36.1,28.8,21.6,36.2,673,0.0,0,0.128,2.42,0.45,7.8,2.8,2.42
1/20,36.1,28.8,21.6,36.2,709,0.0,0,0.128,2.55,0.45,8.2,2.8,2.55
1/21,36.0,28.8,21.6,36.2,746,0.0,0,0.128,2.67,0.45,8.7,2.8,2.67
1/22,36.0,28.8,21.6,36.2,782,0.0,0,0.128,2.80,0.45,9.1,2.8,2.80
1/23,36.1,28.8,21.6,36.2,818,0.0,0,0.127,2.93,0.45,9.6,2.8,2.93
1/24,36.1,28.8,21.6,36.2,854,0.0,0,0.127,3.06,0.45,10.0,2.8,3.06
1/25,36.1,28.9,21.6,36.1,890,0.0,0,0.126,3.18,0.45,10.5,2.8,3.18
1/26,36.1,28.9,21.7,36.1,926,0.0,0,0.126,3.31,0.45,10.9,2.8,3.31
1/27,36.2,29.0,21.7,36.1,962,0.0,0,0.125,3.43,0.44,11.4,2.7,3.43
1/28,36.2,29.0,21.8,36.0,998,0.0,0,0.125,3.56,0.44,11.8,2.7,3.56
1/29,36.3,29.1,21.8,36.0,1034,0.0,0,0.124,3.68,0.44,12.2,2.7,3.68
1/30,36.4,29.1,21.9,35.9,1070,0.0,0,0.123,3.81,0.44,12.7,2.6,3.81
1/31,36.4,29.2,22.0,35.8,1106,0.0,0,0.122,3.93,0.43,13.1,2.6,3.93
2/1,36.5,29.3,22.1,35.7,36,0.0,0,0.122,0.12,0.43,0.4,2.6,4.05
2/2,36.6,29.4,22.2,35.6,71,0.0,0,0.121,0.24,0.42,0.8,2.5,4.17
2/3,36.7,29.5,22.3,35.5,107,0.0,0,0.120,0.36,0.42,1.3,2.5,4.29
2/4,36.8,29.6,22.4,35.4,142,0.0,0,0.119,0.48,0.41,1.7,2.4,4.41
2/5,37.0,29.7,22.5,35.3,178,0.0,0,0.119,0.60,0.41,2.1,2.4,4.53
2/6,37.1,29.9,22.6,35.2,213,0.0,0,0.118,0.72,0.40,2.5,2.3,4.65
2/7,37.2,30.0,22.8,35.0,248,0.0,0,0.118,0.84,0.40,2.9,2.3,4.77
2/8,37.3,30.1,22.9,34.9,283,0.0,0,0.117,0.95,0.40,3.3,2.2,4.88
2/9,37.5,30.3,23.0,34.8,317,0.0,0,0.117,1.07,0.39,3.7,2.2,5.00
2/10,37.6,30.4,23.2,34.6,352,0.0,0,0.117,1.19,0.39,4.1,2.2,5.12
2/11,37.8,30.6,23.3,34.5,387,0.0,0,0.116,1.30,0.38,4.5,2.1,5.23
2/12,37.9,30.7,23.5,34.3,421,0.0,0,0.116,1.42,0.38,4.8,2.1,5.35
2/13,38.1,30.9,23.7,34.2,455,0.0,0,0.116,1.54,0.38,5.2,2.0,5.46
2/14,38.3,31.0,23.8,34.0,489,0.0,0,0.116,1.65,0.37,5.6,2.0,5.58
2/15,38.4,31.2,24.0,33.8,523,0.0,0,0.115,1.77,0.37,5.9,1.9,5.69
2/16,38.6,31.4,24.2,33.6,556,0.0,0,0.115,1.88,0.36,6.3,1.9,5.81
2/17,38.8,31.6,24.4,33.4,590,0.0,0,0.115,2.00,0.36,6.7,1.9,5.93
2/18,39.0,31.8,24.6,33.2,623,0.0,0,0.115,2.11,0.36,7.0,1.8,6.04
2/19,39.2,32.0,24.8,33.0,656,0.0,0,0.116,2.23,0.35,7.4,1.8,6.16
2/20,39.4,32.2,25.0,32.8,689,0.0,0,0.116,2.34,0.35,7.7,1.7,6.27
2/21,39.7,32.4,25.2,32.6,722,0.0,0,0.116,2.46,0.34,8.1,1.7,6.39
2/22,39.9,32.6,25.4,32.4,754,0.0,0,0.116,2.58,0.34,8.4,1.6,6.50
2/23,40.1,32.9,25.6,32.1,786,0.0,0,0.116,2.69,0.34,8.7,1.6,6.62
2/24,40.4,33.1,25.8,31.9,818,0.0,0,0.117,2.81,0.33,9.1,1.5,6.74
2/25,40.6,33.3,26.1,31.7,850,0.0,0,0.117,2.93,0.33,9.4,1.5,6.85
2/26,40.8,33.6,26.3,31.4,881,0.0,0,0.117,3.04,0.32,9.7,1.5,6.97
2/27,41.1,33.8,26.6,31.2,912,0.0,0,0.118,3.16,0.32,10.0,1.4,7.09
2/28,41.4,34.1,26.8,30.9,943,0.0,0,0.118,3.28,0.32,10.4,1.4,7.21
2/29,41.6,34.3,27.1,30.6,974,0.0,0,0.119,3.40,0.31,10.7,1.3,7.33
3/1,41.9,34.6,27.3,30.4,30,0.0,0,0.120,0.12,0.31,0.3,1.3,7.45
3/2,42.2,34.9,27.6,30.1,60,0.0,0,0.120,0.24,0.31,0.6,1.2,7.57
3/3,42.5,35.2,27.9,29.8,90,0.0,0,0.121,0.36,0.30,0.9,1.2,7.69
3/4,42.7,35.4,28.1,29.5,120,0.0,0,0.121,0.48,0.30,1.2,1.1,7.81
3/5,43.0,35.7,28.4,29.3,149,0.0,0,0.122,0.60,0.29,1.5,1.1,7.93
3/6,43.3,36.0,28.7,29.0,178,0.0,0,0.122,0.73,0.29,1.8,1.1,8.05
3/7,43.6,36.3,28.9,28.7,207,0.0,0,0.123,0.85,0.28,2.1,1.0,8.18
3/8,43.9,36.5,29.2,28.4,235,0.0,0,0.123,0.97,0.28,2.4,1.0,8.30
3/9,44.2,36.8,29.5,28.2,263,0.0,0,0.123,1.09,0.28,2.6,0.9,8.42
3/10,44.5,37.1,29.8,27.9,291,0.0,0,0.124,1.22,0.27,2.9,0.9,8.55
3/11,44.8,37.4,30.0,27.6,319,0.0,0,0.124,1.34,0.27,3.2,0.9,8.67
3/12,45.1,37.7,30.3,27.3,346,0.0,0,0.124,1.47,0.26,3.4,0.8,8.79
3/13,45.3,38.0,30.6,27.0,373,0.0,0,0.125,1.59,0.26,3.7,0.8,8.92
3/14,45.6,38.3,30.9,26.7,400,0.0,0,0.125,1.72,0.25,3.9,0.8,9.04
3/15,45.9,38.5,31.1,26.5,426,0.0,0,0.125,1.84,0.25,4.2,0.7,9.17
3/16,46.2,38.8,31.4,26.2,453,0.0,0,0.126,1.97,0.24,4.4,0.7,9.29
3/17,46.5,39.1,31.7,25.9,478,0.0,0,0.126,2.09,0.24,4.7,0.7,9.42
3/18,46.8,39.4,32.0,25.6,504,0.0,0,0.126,2.22,0.23,4.9,0.6,9.55
3/19,47.2,39.7,32.3,25.3,529,0.0,0,0.126,2.35,0.22,5.1,0.6,9.67
3/20,47.5,40.0,32.6,25.0,554,0.0,0,0.126,2.47,0.22,5.3,0.6,9.80
3/21,47.8,40.3,32.9,24.7,579,0.0,0,0.126,2.60,0.21,5.6,0.5,9.92
3/22,48.1,40.6,33.1,24.4,603,0.0,0,0.126,2.72,0.21,5.8,0.5,10.05
3/23,48.4,40.9,33.4,24.1,628,0.0,0,0.126,2.85,0.20,6.0,0.5,10.18
3/24,48.7,41.2,33.7,23.8,651,0.0,0,0.126,2.98,0.20,6.2,0.4,10.30
3/25,49.0,41.5,34.0,23.5,675,0.0,0,0.127,3.10,0.19,6.3,0.4,10.43
3/26,49.3,41.8,34.3,23.2,698,0.0,0,0.127,3.23,0.18,6.5,0.4,10.56
3/27,49.6,42.1,34.6,22.9,721,0.0,0,0.127,3.36,0.18,6.7,0.4,10.68
3/28,50.0,42.4,34.9,22.6,744,0.0,0,0.127,3.48,0.17,6.9,0.3,10.81
3/29,50.3,42.7,35.2,22.3,766,0.0,0,0.126,3.61,0.16,7.0,0.3,10.94
3/30,50.6,43.0,35.5,22.0,788,0.0,1,0.126,3.74,0.16,7.2,0.3,11.06
3/31,50.9,43.4,35.8,21.7,810,0.0,1,0.126,3.86,0.15,7.3,0.3,11.19
4/1,51.2,43.7,36.1,21.4,21,0.0,0,0.126,0.13,0.14,0.1,0.2,11.32
4/2,51.6,44.0,36.4,21.1,42,0.0,0,0.126,0.25,0.13,0.3,0.2,11.44
4/3,51.9,44.3,36.7,20.7,63,0.0,0,0.126,0.38,0.13,0.4,0.2,11.57
4/4,52.2,44.6,37.0,20.4,84,0.0,0,0.126,0.50,0.12,0.5,0.2,11.69
4/5,52.6,44.9,37.3,20.1,104,0.0,0,0.126,0.63,0.11,0.6,0.2,11.82
4/6,52.9,45.2,37.6,19.8,124,0.1,0,0.126,0.76,0.11,0.7,0.1,11.95
4/7,53.2,45.6,37.9,19.5,143,0.1,0,0.125,0.88,0.10,0.9,0.1,12.07
4/8,53.5,45.9,38.2,19.2,162,0.1,0,0.125,1.01,0.10,0.9,0.1,12.20
4/9,53.9,46.2,38.5,18.9,181,0.1,0,0.125,1.13,0.09,1.0,0.1,12.32
4/10,54.2,46.5,38.8,18.5,200,0.1,1,0.124,1.26,0.09,1.1,0.1,12.44
4/11,54.6,46.8,39.1,18.2,218,0.1,1,0.124,1.38,0.08,1.2,0.1,12.57
4/12,54.9,47.2,39.4,17.9,236,0.1,1,0.124,1.50,0.08,1.3,0.1,12.69
4/13,55.2,47.5,39.7,17.6,253,0.1,1,0.123,1.63,0.07,1.4,0.0,12.82
4/14,55.6,47.8,40.1,17.3,271,0.1,1,0.123,1.75,0.07,1.4,0.0,12.94
4/15,55.9,48.1,40.4,16.9,287,0.1,1,0.123,1.87,0.06,1.5,0.0,13.06
4/16,56.2,48.5,40.7,16.6,304,0.1,1,0.122,1.99,0.06,1.5,0.0,13.18
4/17,56.6,48.8,41.0,16.3,320,0.1,1,0.122,2.12,0.05,1.6,0.0,13.30
4/18,56.9,49.1,41.3,16.0,336,0.1,1,0.121,2.24,0.05,1.6,0.0,13.43
4/19,57.3,49.4,41.6,15.7,352,0.1,1,0.120,2.36,0.05,1.7,0.0,13.55
4/20,57.6,49.8,41.9,15.3,367,0.1,2,0.120,2.48,0.04,1.7,0.0,13.67
4/21,58.0,50.1,42.2,15.0,382,0.1,2,0.119,2.60,0.04,1.8,0.0,13.79
4/22,58.3,50.4,42.5,14.7,397,0.2,2,0.119,2.71,0.04,1.8,0.0,13.90
4/23,58.7,50.8,42.9,14.4,411,0.2,2,0.118,2.83,0.03,1.8,0.0,14.02
4/24,59.0,51.1,43.2,14.0,426,0.2,2,0.117,2.95,0.03,1.9,0.0,14.14
4/25,59.4,51.4,43.5,13.7,439,0.2,2,0.116,3.07,0.03,1.9,0.0,14.26
4/26,59.7,51.8,43.8,13.4,453,0.2,3,0.116,3.18,0.02,1.9,0.0,14.37
4/27,60.1,52.1,44.1,13.1,466,0.2,3,0.115,3.30,0.02,1.9,0.0,14.49
4/28,60.4,52.4,44.4,12.7,478,0.2,3,0.114,3.41,0.02,2.0,0.0,14.60
4/29,60.8,52.8,44.8,12.4,491,0.2,3,0.113,3.52,0.02,2.0,0.0,14.71
4/30,61.1,53.1,45.1,12.1,503,0.2,3,0.112,3.63,0.02,2.0,0.0,14.82
5/1,61.5,53.4,45.4,11.8,12,0.2,0,0.111,0.11,0.02,0.0,0.0,14.94
5/2,61.8,53.8,45.7,11.4,23,0.2,0,0.110,0.22,0.01,0.0,0.0,15.05
5/3,62.2,54.1,46.0,11.1,34,0.3,1,0.109,0.33,0.01,0.0,0.0,15.15
5/4,62.5,54.4,46.3,10.8,45,0.3,1,0.108,0.44,0.01,0.1,0.0,15.26
5/5,62.9,54.8,46.7,10.5,56,0.3,1,0.108,0.55,0.01,0.1,0.0,15.37
5/6,63.2,55.1,47.0,10.2,66,0.3,2,0.107,0.65,0.01,0.1,0.0,15.48
5/7,63.6,55.4,47.3,9.9,76,0.4,2,0.106,0.76,0.01,0.1,0.0,15.58
5/8,63.9,55.8,47.6,9.6,85,0.4,2,0.106,0.87,0.01,0.1,0.0,15.69
5/9,64.3,56.1,47.9,9.3,95,0.4,3,0.105,0.97,0.00,0.1,0.0,15.79
5/10,64.7,56.5,48.3,9.0,104,0.5,3,0.105,1.07,0.00,0.1,0.0,15.90
5/11,65.0,56.8,48.6,8.7,112,0.5,4,0.104,1.18,0.00,0.1,0.0,16.00
5/12,65.4,57.1,48.9,8.5,121,0.6,5,0.104,1.28,0.00,0.1,0.0,16.11
5/13,65.7,57.5,49.2,8.2,129,0.6,5,0.103,1.39,0.00,0.1,0.0,16.21
5/14,66.1,57.8,49.5,7.9,137,0.7,6,0.103,1.49,0.00,0.1,0.0,16.31
5/15,66.4,58.1,49.9,7.7,145,0.8,7,0.103,1.59,0.00,0.1,0.0,16.42
5/16,66.8,58.5,50.2,7.4,152,0.8,7,0.102,1.69,0.00,0.1,0.0,16.52
5/17,67.1,58.8,50.5,7.1,159,0.9,8,0.102,1.80,0.00,0.1,0.0,16.62
5/18,67.5,59.1,50.8,6.9,166,1.0,9,0.102,1.90,0.00,0.1,0.0,16.72
5/19,67.8,59.5,51.1,6.6,173,1.1,10,0.102,2.00,0.00,0.1,0.0,16.82
5/20,68.2,59.8,51.4,6.4,179,1.2,12,0.102,2.10,0.00,0.1,0.0,16.93
5/21,68.5,60.1,51.8,6.1,185,1.2,13,0.102,2.20,0.00,0.1,0.0,17.03
5/22,68.9,60.5,52.1,5.9,191,1.3,14,0.102,2.31,0.00,0.1,0.0,17.13
5/23,69.2,60.8,52.4,5.7,197,1.4,16,0.102,2.41,0.01,0.1,0.0,17.23
5/24,69.5,61.1,52.7,5.4,202,1.5,17,0.102,2.51,0.01,0.1,0.0,17.33
5/25,69.9,61.5,53.0,5.2,207,1.6,19,0.103,2.61,0.01,0.0,0.0,17.44
5/26,70.2,61.8,53.4,5.0,212,1.7,20,0.103,2.72,0.01,0.0,0.0,17.54
5/27,70.6,62.1,53.7,4.8,217,1.9,22,0.103,2.82,0.01,0.0,0.0,17.64
5/28,70.9,62.5,54.0,4.6,222,2.0,24,0.103,2.92,0.01,0.0,0.0,17.75
5/29,71.3,62.8,54.3,4.3,226,2.1,26,0.104,3.03,0.00,0.0,0.0,17.85
5/30,71.6,63.1,54.6,4.1,230,2.2,29,0.104,3.13,0.00,0.0,0.0,17.95
5/31,72.0,63.5,54.9,3.9,234,2.3,31,0.105,3.24,0.00,0.0,0.0,18.06
6/1,72.3,63.8,55.3,3.7,4,2.5,2,0.105,0.11,0.00,0.0,0.0,18.16
6/2,72.7,64.1,55.6,3.5,7,2.6,5,0.106,0.21,0.00,0.0,0.0,18.27
6/3,73.0,64.4,55.9,3.3,11,2.7,8,0.106,0.32,0.00,0.0,0.0,18.38
6/4,73.3,64.8,56.2,3.1,14,2.9,11,0.107,0.42,0.00,0.0,0.0,18.48
6/5,73.6,65.1,56.5,2.9,17,3.0,14,0.107,0.53,0.00,0.0,0.0,18.59
6/6,74.0,65.4,56.8,2.8,19,3.1,17,0.108,0.64,0.00,0.0,0.0,18.70
6/7,74.3,65.7,57.1,2.6,22,3.3,20,0.108,0.75,0.00,0.0,0.0,18.81
6/8,74.6,66.0,57.4,2.4,24,3.4,24,0.108,0.86,0.00,0.0,0.0,18.92
6/9,74.9,66.3,57.7,2.3,27,3.6,27,0.108,0.96,0.00,0.0,0.0,19.02
6/10,75.2,66.6,58.0,2.1,29,3.7,31,0.109,1.07,0.00,0.0,0.0,19.13
6/11,75.5,66.9,58.3,2.0,31,3.9,35,0.109,1.18,0.00,0.0,0.0,19.24
6/12,75.8,67.2,58.6,1.8,33,4.0,39,0.109,1.29,0.00,0.0,0.0,19.35
6/13,76.1,67.5,58.8,1.7,34,4.2,43,0.109,1.40,0.00,0.0,0.0,19.46
6/14,76.4,67.8,59.1,1.6,36,4.3,47,0.109,1.51,0.00,0.0,0.0,19.57
6/15,76.7,68.0,59.4,1.4,37,4.5,52,0.109,1.62,0.00,0.0,0.0,19.68
6/16,76.9,68.3,59.7,1.3,39,4.6,56,0.109,1.73,0.00,0.0,0.0,19.79
6/17,77.2,68.6,59.9,1.2,40,4.8,61,0.109,1.83,0.00,0.0,0.0,19.89
6/18,77.5,68.8,60.2,1.1,41,5.0,66,0.108,1.94,0.00,0.0,0.0,20.00
6/19,77.8,69.1,60.5,1.0,42,5.1,71,0.108,2.05,0.00,0.0,0.0,20.11
6/20,78.0,69.4,60.7,0.9,43,5.3,77,0.108,2.16,0.00,0.0,0.0,20.22
6/21,78.3,69.6,61.0,0.9,44,5.5,82,0.108,2.27,0.00,0.0,0.0,20.33
6/22,78.5,69.9,61.2,0.8,45,5.7,88,0.107,2.37,0.00,0.0,0.0,20.43
6/23,78.8,70.1,61.5,0.7,45,5.8,94,0.107,2.48,0.00,0.0,0.0,20.54
6/24,79.0,70.4,61.7,0.6,46,6.0,100,0.107,2.59,0.00,0.0,0.0,20.65
6/25,79.2,70.6,62.0,0.6,47,6.2,106,0.106,2.69,0.00,0.0,0.0,20.75
6/26,79.5,70.9,62.2,0.5,47,6.4,112,0.106,2.80,0.00,0.0,0.0,20.86
6/27,79.7,71.1,62.5,0.5,48,6.6,119,0.105,2.90,0.00,0.0,0.0,20.96
6/28,79.9,71.3,62.7,0.5,48,6.8,126,0.104,3.01,0.00,0.0,0.0,21.07
6/29,80.2,71.6,62.9,0.4,48,7.0,133,0.104,3.11,0.00,0.0,0.0,21.17
6/30,80.4,71.8,63.2,0.4,49,7.2,140,0.103,3.22,0.00,0.0,0.0,21.28
7/1,80.6,72.0,63.4,0.4,0,7.4,7,0.102,0.10,0.00,0.0,0.0,21.38
