MoDy,MaxT,AveT,MinT,HDD,MHDD,CDD,MCDD,PcpD,PcpM,SnwD,SnwM,SnwG,PcpYr
7/2,80.8,72.2,63.6,0.4,1,7.6,15,0.102,0.20,0.00,0.0,0.0,21.48
7/3,81.0,72.4,63.8,0.3,1,7.8,23,0.101,0.31,0.00,0.0,0.0,21.58
7/4,81.2,72.6,64.0,0.3,1,7.9,31,0.101,0.41,0.00,0.0,0.0,21.68
7/5,81.3,72.8,64.2,0.3,2,8.1,39,0.100,0.51,0.00,0.0,0.0,21.78
7/6,81.5,73.0,64.4,0.3,2,8.3,47,0.099,0.61,0.00,0.0,0.0,21.88
7/7,81.7,73.1,64.6,0.3,2,8.4,55,0.099,0.70,0.00,0.0,0.0,21.98
7/8,81.8,73.3,64.8,0.2,2,8.6,64,0.099,0.80,0.00,0.0,0.0,22.08
7/9,81.9,73.4,64.9,0.2,3,8.7,73,0.098,0.90,0.00,0.0,0.0,22.18
7/10,82.1,73.6,65.1,0.2,3,8.8,82,0.098,1.00,0.00,0.0,0.0,22.27
7/11,82.2,73.7,65.2,0.2,3,8.9,90,0.098,1.10,0.00,0.0,0.0,22.37
7/12,82.3,73.8,65.4,0.2,3,9.0,99,0.097,1.19,0.00,0.0,0.0,22.47
7/13,82.4,73.9,65.5,0.2,3,9.1,109,0.097,1.29,0.00,0.0,0.0,22.57
7/14,82.5,74.0,65.6,0.1,4,9.2,118,0.097,1.39,0.00,0.0,0.0,22.66
7/15,82.5,74.1,65.7,0.1,4,9.3,127,0.097,1.49,0.00,0.0,0.0,22.76
7/16,82.6,74.2,65.8,0.1,4,9.3,136,0.097,1.58,0.00,0.0,0.0,22.86
7/17,82.6,74.3,65.9,0.1,4,9.4,146,0.097,1.68,0.00,0.0,0.0,22.95
7/18,82.7,74.3,66.0,0.1,4,9.4,155,0.097,1.78,0.00,0.0,0.0,23.05
7/19,82.7,74.4,66.0,0.1,4,9.5,165,0.097,1.87,0.00,0.0,0.0,23.15
7/20,82.7,74.4,66.1,0.1,4,9.5,174,0.097,1.97,0.00,0.0,0.0,23.25
7/21,82.8,74.5,66.2,0.1,4,9.5,184,0.097,2.07,0.00,0.0,0.0,23.34
7/22,82.8,74.5,66.2,0.0,4,9.5,193,0.098,2.17,0.00,0.0,0.0,23.44
7/23,82.8,74.5,66.3,0.0,4,9.6,203,0.098,2.26,0.00,0.0,0.0,23.54
7/24,82.7,74.5,66.3,0.0,4,9.5,212,0.098,2.36,0.00,0.0,0.0,23.64
7/25,82.7,74.5,66.3,0.0,4,9.5,222,0.099,2.46,0.00,0.0,0.0,23.74
7/26,82.7,74.5,66.3,0.0,4,9.5,231,0.099,2.56,0.00,0.0,0.0,23.83
7/27,82.6,74.5,66.3,0.0,4,9.5,241,0.099,2.66,0.00,0.0,0.0,23.93
7/28,82.6,74.5,66.3,0.0,4,9.4,250,0.100,2.76,0.00,0.0,0.0,24.03
7/29,82.5,74.4,66.3,0.0,4,9.4,260,0.100,2.86,0.00,0.0,0.0,24.13
7/30,82.4,74.4,66.3,0.0,4,9.3,269,0.101,2.96,0.00,0.0,0.0,24.23
7/31,82.4,74.3,66.3,0.0,4,9.3,278,0.101,3.06,0.00,0.0,0.0,24.34
8/1,82.3,74.3,66.2,0.0,0,9.2,9,0.102,0.10,0.00,0.0,0.0,24.44
8/2,82.2,74.2,66.2,0.0,0,9.1,18,0.103,0.20,0.00,0.0,0.0,24.54
8/3,82.1,74.1,66.1,0.0,0,9.1,27,0.103,0.31,0.00,0.0,0.0,24.64
8/4,82.0,74.0,66.1,0.0,0,9.0,36,0.104,0.41,0.00,0.0,0.0,24.75
8/5,81.8,73.9,66.0,0.0,0,8.9,45,0.104,0.52,0.00,0.0,0.0,24.85
8/6,81.7,73.8,65.9,0.0,0,8.8,54,0.105,0.62,0.00,0.0,0.0,24.96
8/7,81.6,73.7,65.9,0.0,0,8.7,63,0.105,0.73,0.00,0.0,0.0,25.06
8/8,81.5,73.6,65.8,0.0,0,8.6,71,0.106,0.83,0.00,0.0,0.0,25.17
8/9,81.3,73.5,65.7,0.0,0,8.5,80,0.106,0.94,0.00,0.0,0.0,25.27
8/10,81.2,73.4,65.6,0.1,0,8.4,88,0.107,1.05,0.00,0.0,0.0,25.38
8/11,81.0,73.3,65.5,0.1,0,8.3,97,0.107,1.15,0.00,0.0,0.0,25.49
8/12,80.9,73.1,65.3,0.1,0,8.2,105,0.108,1.26,0.00,0.0,0.0,25.60
8/13,80.7,73.0,65.2,0.1,0,8.1,113,0.108,1.37,0.00,0.0,0.0,25.70
8/14,80.6,72.8,65.1,0.1,1,8.0,121,0.108,1.48,0.00,0.0,0.0,25.81
8/15,80.4,72.7,64.9,0.2,1,7.8,129,0.109,1.59,0.00,0.0,0.0,25.92
8/16,80.2,72.5,64.8,0.2,1,7.7,137,0.109,1.70,0.00,0.0,0.0,26.03
8/17,80.1,72.4,64.6,0.2,1,7.6,144,0.110,1.80,0.00,0.0,0.0,26.14
8/18,79.9,72.2,64.5,0.2,1,7.4,152,0.110,1.91,0.00,0.0,0.0,26.25
8/19,79.7,72.0,64.3,0.3,2,7.3,159,0.110,2.02,0.00,0.0,0.0,26.36
8/20,79.5,71.8,64.1,0.3,2,7.1,166,0.111,2.14,0.00,0.0,0.0,26.47
8/21,79.3,71.6,63.9,0.3,2,7.0,173,0.111,2.25,0.00,0.0,0.0,26.58
8/22,79.1,71.4,63.7,0.4,3,6.8,180,0.111,2.36,0.00,0.0,0.0,26.69
8/23,78.9,71.2,63.5,0.4,3,6.7,186,0.111,2.47,0.00,0.0,0.0,26.80
8/24,78.7,71.0,63.3,0.4,4,6.5,193,0.112,2.58,0.00,0.0,0.0,26.92
8/25,78.5,70.8,63.1,0.5,4,6.3,199,0.112,2.69,0.00,0.0,0.0,27.03
8/26,78.3,70.6,62.9,0.5,5,6.1,205,0.112,2.80,0.00,0.0,0.0,27.14
8/27,78.0,70.3,62.6,0.6,5,5.9,211,0.112,2.92,0.00,0.0,0.0,27.25
8/28,77.8,70.1,62.4,0.6,6,5.7,217,0.113,3.03,0.00,0.0,0.0,27.37
8/29,77.6,69.9,62.2,0.7,6,5.5,223,0.113,3.14,0.00,0.0,0.0,27.48
8/30,77.3,69.6,61.9,0.7,7,5.3,228,0.113,3.25,0.00,0.0,0.0,27.59
8/31,77.1,69.4,61.6,0.7,8,5.1,233,0.113,3.37,0.00,0.0,0.0,27.70
9/1,76.8,69.1,61.4,0.8,1,4.9,5,0.113,0.11,0.00,0.0,0.0,27.82
9/2,76.6,68.8,61.1,0.8,2,4.7,10,0.113,0.23,0.00,0.0,0.0,27.93
9/3,76.3,68.6,60.8,0.9,3,4.5,14,0.114,0.34,0.00,0.0,0.0,28.04
9/4,76.1,68.3,60.5,1.0,4,4.3,18,0.114,0.45,0.00,0.0,0.0,28.16
9/5,75.8,68.0,60.3,1.1,5,4.1,22,0.114,0.57,0.00,0.0,0.0,28.27
9/6,75.5,67.7,60.0,1.2,6,3.9,26,0.114,0.68,0.00,0.0,0.0,28.39
9/7,75.2,67.5,59.7,1.3,7,3.7,30,0.114,0.80,0.00,0.0,0.0,28.50
9/8,75.0,67.2,59.4,1.4,8,3.5,34,0.114,0.91,0.00,0.0,0.0,28.61
9/9,74.7,66.9,59.1,1.5,10,3.4,37,0.115,1.03,0.00,0.0,0.0,28.73
9/10,74.4,66.6,58.8,1.6,11,3.2,40,0.115,1.14,0.00,0.0,0.0,28.84
9/11,74.1,66.3,58.5,1.8,13,3.0,43,0.115,1.26,0.00,0.0,0.0,28.96
9/12,73.8,66.0,58.1,1.9,15,2.9,46,0.115,1.37,0.00,0.0,0.0,29.07
9/13,73.5,65.7,57.8,2.1,17,2.7,49,0.115,1.49,0.00,0.0,0.0,29.19
9/14,73.2,65.3,57.5,2.2,19,2.6,51,0.115,1.60,0.00,0.0,0.0,29.31
9/15,72.9,65.0,57.2,2.4,22,2.4,54,0.116,1.72,0.00,0.0,0.0,29.42
9/16,72.5,64.7,56.9,2.6,24,2.3,56,0.116,1.83,0.00,0.0,0.0,29.54
9/17,72.2,64.4,56.5,2.8,27,2.2,58,0.116,1.95,0.00,0.0,0.0,29.65
9/18,71.9,64.0,56.2,3.0,30,2.0,60,0.116,2.06,0.00,0.0,0.0,29.77
9/19,71.6,63.7,55.8,3.2,33,1.9,62,0.116,2.18,0.00,0.0,0.0,29.88
9/20,71.2,63.4,55.5,3.4,37,1.8,64,0.116,2.30,0.00,0.0,0.0,30.00
9/21,70.9,63.0,55.1,3.7,40,1.7,66,0.117,2.41,0.00,0.0,0.0,30.12
9/22,70.5,62.7,54.8,3.9,44,1.6,67,0.117,2.53,0.00,0.0,0.0,30.23
9/23,70.2,62.3,54.4,4.2,49,1.5,69,0.117,2.65,0.00,0.0,0.0,30.35
9/24,69.8,61.9,54.1,4.4,53,1.4,70,0.117,2.76,0.00,0.0,0.0,30.47
9/25,69.5,61.6,53.7,4.7,58,1.3,71,0.117,2.88,0.00,0.0,0.0,30.59
9/26,69.1,61.2,53.3,5.0,63,1.2,73,0.117,3.00,0.00,0.0,0.0,30.70
9/27,68.7,60.8,53.0,5.3,68,1.1,74,0.117,3.12,0.00,0.0,0.0,30.82
9/28,68.3,60.5,52.6,5.6,73,1.0,75,0.118,3.23,0.00,0.0,0.0,30.94
9/29,68.0,60.1,52.2,5.9,79,1.0,76,0.118,3.35,0.00,0.0,0.0,31.06
9/30,67.6,59.7,51.8,6.2,86,0.9,77,0.118,3.47,0.00,0.0,0.0,31.17
10/1,67.2,59.3,51.4,6.5,7,0.8,1,0.118,0.12,0.00,0.0,0.0,31.29
10/2,66.8,58.9,51.0,6.9,13,0.8,2,0.118,0.24,0.00,0.0,0.0,31.41
10/3,66.4,58.5,50.6,7.2,21,0.7,2,0.118,0.35,0.00,0.0,0.0,31.53
10/4,66.0,58.2,50.3,7.5,28,0.7,3,0.118,0.47,0.00,0.0,0.0,31.65
10/5,65.7,57.8,49.9,7.8,36,0.6,4,0.118,0.59,0.00,0.0,0.0,31.76
10/6,65.3,57.4,49.5,8.1,44,0.5,4,0.119,0.71,0.00,0.0,0.0,31.88
10/7,64.9,57.0,49.2,8.5,53,0.5,5,0.119,0.83,0.00,0.0,0.0,32.00
10/8,64.6,56.7,48.8,8.8,61,0.4,5,0.119,0.95,0.00,0.0,0.0,32.12
10/9,64.2,56.3,48.5,9.1,70,0.4,5,0.119,1.07,0.00,0.0,0.0,32.24
10/10,63.8,56.0,48.1,9.4,80,0.3,6,0.120,1.19,0.00,0.0,0.0,32.36
10/11,63.5,55.6,47.8,9.7,89,0.3,6,0.120,1.31,0.00,0.0,0.0,32.48
10/12,63.1,55.3,47.4,10.0,99,0.3,6,0.120,1.43,0.00,0.0,0.0,32.60
10/13,62.8,54.9,47.1,10.3,110,0.2,7,0.120,1.55,0.00,0.0,0.0,32.72
10/14,62.4,54.6,46.8,10.6,120,0.2,7,0.121,1.67,0.00,0.0,0.0,32.84
10/15,62.1,54.3,46.5,10.9,131,0.2,7,0.121,1.79,0.00,0.1,0.0,32.96
10/16,61.7,53.9,46.2,11.2,142,0.1,7,0.121,1.91,0.00,0.1,0.0,33.08
10/17,61.4,53.6,45.9,11.5,154,0.1,7,0.122,2.03,0.00,0.1,0.0,33.21
10/18,61.0,53.3,45.6,11.8,166,0.1,7,0.122,2.15,0.00,0.1,0.0,33.33
10/19,60.7,53.0,45.3,12.1,178,0.0,7,0.123,2.28,0.00,0.1,0.0,33.45
10/20,60.4,52.7,45.0,12.3,190,0.0,7,0.123,2.40,0.00,0.1,0.0,33.57
10/21,60.0,52.4,44.7,12.6,203,0.0,7,0.124,2.52,0.00,0.1,0.0,33.70
10/22,59.7,52.1,44.4,12.9,216,0.0,7,0.124,2.65,0.00,0.1,0.0,33.82
10/23,59.4,51.8,44.2,13.2,229,0.0,7,0.125,2.77,0.00,0.0,0.0,33.95
10/24,59.0,51.5,43.9,13.5,242,0.0,7,0.125,2.90,0.00,0.0,0.0,34.07
10/25,58.7,51.2,43.6,13.8,256,0.0,7,0.126,3.02,0.00,0.0,0.0,34.20
10/26,58.4,50.9,43.4,14.0,270,0.1,7,0.126,3.15,0.01,0.0,0.0,34.32
10/27,58.1,50.6,43.1,14.3,284,0.1,7,0.127,3.28,0.01,0.0,0.0,34.45
10/28,57.8,50.3,42.9,14.6,299,0.1,7,0.128,3.40,0.01,0.0,0.0,34.58
10/29,57.5,50.1,42.6,14.9,314,0.1,7,0.128,3.53,0.01,0.0,0.0,34.71
10/30,57.2,49.8,42.4,15.1,329,0.1,7,0.129,3.66,0.01,0.0,0.0,34.84
10/31,56.9,49.5,42.2,15.4,344,0.0,7,0.130,3.79,0.01,0.0,0.0,34.97
11/1,56.6,49.3,42.0,15.7,16,0.0,0,0.130,0.13,0.01,0.0,0.0,35.10
11/2,56.3,49.0,41.7,16.0,32,0.0,0,0.131,0.26,0.01,0.0,0.0,35.23
11/3,55.9,48.7,41.5,16.2,48,0.0,0,0.132,0.39,0.01,0.0,0.0,35.36
11/4,55.6,48.5,41.3,16.5,64,0.0,0,0.132,0.53,0.02,0.1,0.0,35.49
11/5,55.3,48.2,41.0,16.8,81,0.0,0,0.133,0.66,0.02,0.1,0.0,35.62
11/6,55.0,47.9,40.8,17.1,98,0.0,0,0.133,0.79,0.02,0.1,0.0,35.76
11/7,54.7,47.6,40.5,17.4,116,0.0,0,0.134,0.93,0.02,0.1,0.0,35.89
11/8,54.4,47.3,40.3,17.7,133,0.0,0,0.134,1.06,0.02,0.1,0.0,36.02
11/9,54.1,47.0,40.0,18.0,151,0.0,0,0.134,1.19,0.03,0.2,0.0,36.16
11/10,53.7,46.7,39.7,18.3,170,0.0,0,0.135,1.33,0.03,0.2,0.0,36.29
11/11,53.4,46.4,39.4,18.6,188,0.0,0,0.135,1.46,0.03,0.2,0.0,36.43
11/12,53.1,46.1,39.2,18.9,207,0.0,0,0.135,1.60,0.03,0.3,0.1,36.56
11/13,52.7,45.8,38.9,19.2,226,0.0,0,0.135,1.73,0.04,0.3,0.1,36.70
11/14,52.4,45.5,38.6,19.6,246,0.0,0,0.135,1.87,0.04,0.3,0.1,36.83
11/15,52.1,45.2,38.3,19.9,266,0.0,0,0.135,2.00,0.04,0.4,0.1,36.97
11/16,51.7,44.8,38.0,20.2,286,0.0,0,0.135,2.14,0.05,0.4,0.1,37.10
11/17,51.4,44.5,37.7,20.5,307,0.0,0,0.135,2.27,0.05,0.5,0.1,37.24
11/18,51.0,44.2,37.3,20.9,328,0.0,0,0.134,2.41,0.05,0.5,0.1,37.37
11/19,50.7,43.9,37.0,21.2,349,0.0,0,0.134,2.54,0.06,0.6,0.1,37.51
11/20,50.3,43.5,36.7,21.6,370,0.0,0,0.134,2.68,0.06,0.6,0.1,37.64
11/21,50.0,43.2,36.3,21.9,392,0.0,0,0.133,2.81,0.06,0.7,0.1,37.77
11/22,49.6,42.8,36.0,22.3,414,0.0,0,0.133,2.94,0.07,0.8,0.1,37.91
11/23,49.3,42.5,35.7,22.6,437,0.0,0,0.132,3.07,0.07,0.8,0.1,38.04
11/24,48.9,42.1,35.3,23.0,460,0.0,1,0.132,3.21,0.08,0.9,0.1,38.17
11/25,48.5,41.7,34.9,23.3,483,0.0,1,0.131,3.34,0.08,1.0,0.1,38.30
11/26,48.2,41.4,34.6,23.7,507,0.0,1,0.131,3.47,0.09,1.1,0.1,38.43
11/27,47.8,41.0,34.2,24.1,531,0.0,1,0.130,3.60,0.09,1.2,0.1,38.56
11/28,47.4,40.6,33.8,24.4,556,0.0,1,0.129,3.73,0.09,1.3,0.1,38.69
11/29,47.1,40.3,33.4,24.8,580,0.0,1,0.128,3.86,0.10,1.4,0.1,38.82
11/30,46.7,39.9,33.1,25.2,606,0.0,1,0.127,3.98,0.10,1.5,0.1,38.95
12/1,46.3,39.5,32.7,25.6,26,0.0,0,0.126,0.13,0.11,0.1,0.1,39.07
12/2,45.9,39.1,32.3,26.0,52,0.0,0,0.125,0.25,0.11,0.2,0.1,39.20
12/3,45.6,38.7,31.9,26.3,78,0.0,0,0.124,0.38,0.12,0.3,0.1,39.32
12/4,45.2,38.4,31.5,26.7,105,0.0,0,0.124,0.50,0.12,0.5,0.1,39.45
12/5,44.9,38.0,31.2,27.1,132,0.0,0,0.123,0.62,0.13,0.6,0.1,39.57
12/6,44.5,37.7,30.8,27.4,159,0.0,0,0.122,0.74,0.14,0.7,0.1,39.69
12/7,44.2,37.3,30.4,27.7,187,0.0,0,0.121,0.87,0.14,0.9,0.2,39.81
12/8,43.8,37.0,30.1,28.1,215,0.0,0,0.121,0.99,0.15,1.0,0.2,39.93
12/9,43.5,36.6,29.7,28.4,243,0.0,0,0.120,1.11,0.15,1.2,0.2,40.05
12/10,43.2,36.3,29.4,28.7,272,0.0,0,0.120,1.23,0.16,1.3,0.2,40.17
12/11,42.9,36.0,29.1,29.0,301,0.0,0,0.119,1.35,0.17,1.5,0.3,40.29
12/12,42.6,35.7,28.8,29.3,330,0.0,0,0.119,1.46,0.17,1.7,0.3,40.41
12/13,42.3,35.4,28.4,29.6,360,0.0,0,0.119,1.58,0.18,1.9,0.3,40.53
12/14,42.0,35.1,28.1,29.9,390,0.0,0,0.118,1.70,0.19,2.0,0.4,40.65
12/15,41.7,34.8,27.8,30.2,420,0.0,0,0.118,1.82,0.19,2.2,0.4,40.77
12/16,41.4,34.5,27.5,30.5,451,0.0,0,0.118,1.94,0.20,2.4,0.5,40.89
12/17,41.1,34.2,27.2,30.8,481,0.0,0,0.118,2.06,0.21,2.6,0.5,41.00
12/18,40.9,33.9,27.0,31.1,513,0.0,0,0.118,2.17,0.22,2.9,0.6,41.12
12/19,40.6,33.7,26.7,31.3,544,0.0,0,0.118,2.29,0.22,3.1,0.7,41.24
12/20,40.4,33.4,26.4,31.6,575,0.0,0,0.118,2.41,0.23,3.3,0.7,41.36
12/21,40.1,33.1,26.1,31.8,607,0.0,0,0.118,2.53,0.24,3.6,0.8,41.48
12/22,39.9,32.9,25.9,32.1,639,0.0,0,0.118,2.65,0.25,3.8,0.9,41.59
12/23,39.6,32.6,25.6,32.3,672,0.0,0,0.119,2.76,0.26,4.1,0.9,41.71
12/24,39.4,32.4,25.4,32.5,704,0.0,0,0.119,2.88,0.27,4.3,1.0,41.83
12/25,39.2,32.2,25.1,32.8,737,0.0,0,0.119,3.00,0.27,4.6,1.1,41.95
12/26,39.0,31.9,24.9,33.0,770,0.0,0,0.120,3.12,0.28,4.9,1.2,42.07
12/27,38.8,31.7,24.7,33.2,803,0.0,0,0.120,3.24,0.29,5.2,1.3,42.19
12/28,38.6,31.5,24.5,33.4,837,0.0,0,0.121,3.36,0.30,5.5,1.3,42.31
12/29,38.4,31.3,24.2,33.6,870,0.0,0,0.121,3.48,0.31,5.8,1.4,42.43
12/30,38.2,31.1,24.0,33.8,904,0.0,0,0.122,3.61,0.32,6.1,1.5,42.55
12/31,38.0,30.9,23.8,34.0,938,0.0,0,0.123,3.73,0.33,6.4,1.6,42.68
